npack,ne,GPU time (ms),GPU GFLOPS
20000,450,46.5445,87.0136
21000,450,48.2288,88.1734
22000,450,57.2487,77.8184
23000,450,53.9632,86.3087
24000,450,56.3687,86.218
25000,450,59.0335,85.7563
26000,450,62.3516,84.4405
27000,450,70.9101,77.1047
28000,450,66.333,85.4779
29000,450,75.4906,77.7912
30000,450,71.2169,85.3028
31000,450,73.2482,85.7017
32000,450,83.6857,77.4326
33000,450,78.3828,85.2547
34000,450,88.9138,77.4346
35000,450,91.3611,77.5768
36000,450,85.3162,85.4469
37000,450,96.3047,77.7999
38000,450,90.2407,85.272
39000,450,101.786,77.5891
40000,450,95.456,84.8559
1000,500,3.77365,66.2488
2000,500,6.50326,76.8845
3000,500,8.96262,83.6809
4000,500,11.3307,88.2558
5000,500,13.9455,89.6345
6000,500,16.5013,90.9017
7000,500,18.8678,92.7507
8000,500,21.2413,94.1564
9000,500,24.6728,91.1936
10000,500,26.8643,93.0604
11000,500,33.678,81.6556
12000,500,36.1669,82.9488
13000,500,35.4499,91.6787
14000,500,37.3921,93.6026
15000,500,40.2664,93.1297
16000,500,42.4252,94.2835
17000,500,45.8014,92.7919
18000,500,48.7333,92.3393
19000,500,52.6433,90.2299
20000,500,61.5194,81.2752
21000,500,65.4939,80.1601
22000,500,61.5984,89.2881
23000,500,64.9846,88.4825
24000,500,74.4201,80.6234
25000,500,70.6619,88.4493
26000,500,80.8642,80.3817
27000,500,75.2344,89.7196
28000,500,78.4264,89.2557
29000,500,81.9417,88.4776
30000,500,85.0051,88.23
31000,500,87.9106,88.1577
32000,500,90.3805,88.5146
33000,500,102.049,80.8437
34000,500,96.5265,88.0587
35000,500,98.4639,88.8651
36000,500,101.18,88.9502
37000,500,105.079,88.029
38000,500,107.618,88.275
39000,500,110.617,88.142
40000,500,112.791,88.6595
1000,550,4.70773,64.256
2000,550,7.25636,83.3752
3000,550,11.4693,79.1242
4000,550,12.9983,93.0891
5000,550,16.1793,93.4839
6000,550,19.2971,94.0557
7000,550,25.1081,84.3353
8000,550,24.8346,97.4447
9000,550,28.2354,96.4217
10000,550,35.5381,85.1199
11000,550,33.9653,97.9675
12000,550,37.1459,97.7227
13000,550,46.1735,85.1679
14000,550,43.9906,96.2706
15000,550,53.4019,84.9689
16000,550,50.2109,96.3934
17000,550,54.5294,94.3068
18000,550,64.5226,84.389
19000,550,62.3178,92.2288
20000,550,65.0714,92.9748
21000,550,74.4655,85.308
22000,550,78.4014,84.8837
23000,550,75.0403,92.7168
24000,550,78.979,91.9232
25000,550,88.9303,85.0385
26000,550,84.4579,93.1233
27000,550,88.6217,92.1614
28000,550,92.3483,91.7179
